AAPL,GOOG,MSFT,FB,AMZN,CSCO,GILD,AMGN,SBUX,CELG,QCOM,PCLN,AVGO,ADBE,NFLX,ESRX,CTSH,YHOO,TSLA,ALXN,CME,EBAY,NXPI,INTU,ORLY,ILMN,AMAT,ROST,EQIX,FISV,DISH,VRTX,NVDA,PAYX,DLTR,CERN,TROW,AMTD,CHKP,SNDK,HSIC,FAST,BMRN,VRSK,LRCX,SBAC,NCLH,ULTA,CTXS,XLNX,SYMC,TSCO,KLAC,SRCL,LLTC,CHRW,MXIM,MCHP,HOLX,STX,VRSN,CTAS,AKAM,WYNN,LULU,XRAY,GRMN,JAZZ,BBBY,SABR,ANSS,NTAP,SNPS,SBNY,FFIV,IDXX,SPLS,SEIC,MRKT,CDW,LAMR,HDS,JKHY,FLEX,JBLU,YNDX,SSNC,SPLK,FSLR,TRMB,AGNC,ALNY,MIK,ALGN,ODFL
2023871,137295,1884476,3254904,580398,842511,925916,98837,354529,189564,405100,12706,144502,43147,1018863,42601,173880,609751,455386,56657,30619,929900,118255,27122,23775,20727,396893,83008,13772,15059,19625,150324,158784,53599,53254,20514,43190,172437,33046,29892,8072,148336,46754,21513,33790,23724,27058,11884,41378,97321,220663,34964,16077,5452,38396,63428,24771,32944,87652,155221,27015,10178,85917,300730,128724,18486,20953,11928,83734,19540,5310,58494,14998,4000,9838,26601,80932,32453,9977,22516,6451,13740,17765,135492,360663,104213,3150,18818,44196,16413,119308,26108,7895,15822,35328
1667477,96715,1578278,2478428,351065,763053,863220,161868,232095,200077,548166,10639,170222,48465,1342101,92178,89394,469549,304874,58446,52621,448081,45867,34611,37506,51269,313889,70075,11348,24106,29735,96390,389499,84064,42195,27766,77038,137035,85271,32712,9066,265043,62498,21254,45864,87721,61324,15574,19874,120136,106255,14226,19880,10812,53705,37824,22141,25540,199420,155811,24761,21799,67318,226634,139690,43695,19175,38612,112139,54121,2616,74612,10032,11217,17294,35636,83657,20691,10514,12182,20519,18934,15072,314981,246084,137481,7106,27325,37275,19371,54829,52878,6800,14214,45258
1131139,61330,1012584,2465540,301108,492454,501783,99657,212538,148217,246690,8207,114222,43430,1295558,100656,50678,396702,183483,61776,32486,943596,72675,22138,13526,102618,308786,46530,28379,29557,38748,99023,165192,36200,96347,29791,191246,84129,38264,40916,6523,178267,25695,10618,28614,30054,120795,9476,13193,74925,164314,11272,15486,9945,23226,26308,25658,42939,96004,176233,20257,10686,32413,171536,46334,18525,20594,12227,47003,36400,6130,63287,5300,28826,11013,74730,78937,13873,10452,5000,4000,22332,9288,146448,130895,40728,5400,32665,37962,19627,71017,26389,5400,12305,30137
1238035,144200,1193342,1601504,168830,820008,583150,109469,254465,336635,284609,9752,133067,66829,1262152,105698,82603,416128,201717,67209,48822,1082147,68586,19355,23715,106665,313594,198434,11310,18503,33670,75693,110952,86148,63623,31941,22355,110579,100817,30218,7776,138684,33752,21984,44905,82556,102750,12282,42980,72770,95004,25274,28940,8333,27313,49705,25375,38436,119019,157803,9783,6113,53096,153937,97763,45407,22217,13222,30635,18432,8447,160282,5262,22307,21893,41027,130415,29138,4920,13330,3260,20124,11770,270593,193203,93983,8374,27290,44635,19082,74622,42078,29881,14150,26770
1193678,85346,1271837,2209196,146956,513887,494231,91922,435651,180493,384790,14075,117585,62556,707789,70679,70126,380542,132678,84225,60970,948682,85288,26327,17808,73133,187977,130160,13990,27956,45201,179601,105299,78574,50155,31094,43389,156238,29229,44273,22781,97316,80760,23260,55650,18856,82176,26048,26432,206198,86816,40382,32043,9657,30040,28320,24249,11603,103473,183238,16550,10903,76693,93851,75524,41673,39768,8318,44062,40437,23077,73744,12548,36470,21075,37667,211612,37573,4100,32406,8205,30188,8410,497328,209938,169500,12891,36409,57835,50529,53478,24919,8893,59610,35718
1477079,46381,1054037,1353679,97492,410588,391624,111941,219543,277410,316609,8902,74988,28591,453257,71431,90879,258091,102916,70576,70666,437754,72547,18443,53413,46486,301237,101817,6050,23405,35911,58364,108276,44202,47672,29463,67789,143750,56314,78491,9677,74847,74705,27486,39897,15047,80760,44825,32700,67269,79683,25575,20325,9169,32739,33344,52243,29467,90809,208495,141277,6475,39683,140880,46893,14623,19115,6591,37660,65045,4677,61068,7675,22500,9345,41648,102259,51383,17798,18985,4600,22971,9461,123375,179016,103140,4925,35137,31366,48691,64733,41700,6076,14490,17714
1104302,47682,794934,1159969,117949,669387,417370,96614,207501,317900,202129,8206,81675,34153,494670,49805,145577,160327,103781,101845,42759,288625,44944,30191,15885,20771,163569,78686,9149,20376,22247,61148,141203,52784,117545,24166,24793,73546,24805,50473,7607,70466,96808,17031,58996,16075,79512,12614,31780,86122,85508,32707,32987,9444,39226,25056,33817,24824,75338,142381,29264,13281,44633,221643,62142,13067,9431,16575,23966,42440,8567,57801,12602,8284,12349,26948,122445,15682,5647,41994,4184,49476,10231,133941,284365,143070,6815,46196,49199,23914,271663,45283,4691,12337,18856
996839,62419,754356,1329973,121474,663682,544277,83794,169066,256164,355073,10084,187480,57264,1002344,73140,92469,382687,252503,77336,21460,355809,81424,21987,26396,14700,217013,132836,9295,11212,28998,36642,217129,60721,86840,26701,63706,93743,28454,36521,11861,67904,52497,15186,52437,33678,41241,23838,47793,52340,160407,30937,40855,3363,47447,21575,41014,39301,84513,243934,13980,8970,41635,165512,42014,10308,17294,10537,20538,31939,5290,87948,12342,9392,21500,15819,82809,13463,6400,30530,2085,43114,12728,109748,157383,29166,8636,46632,30247,39083,99612,47717,3300,10157,19200
896310,33967,939861,1043596,101550,782192,319297,64507,178285,195014,267254,11794,105924,29191,524689,58304,143211,385076,195598,90097,6429,551390,46332,31157,15315,22329,160006,95836,13492,12600,31414,54162,181521,112693,65046,37680,74704,100093,42797,30896,8038,115755,63438,21950,69457,31660,105297,19491,26803,50936,94951,35359,37590,2648,42255,28971,47090,79842,89874,222981,22187,13586,68704,99247,43379,8271,14359,25664,23460,60170,6931,62170,27951,31600,24344,32700,91711,19519,5418,46891,7826,41504,5509,249361,204740,101722,17854,33068,34388,15170,165184,35143,4430,15951,19884
916526,59216,784401,944703,66161,394870,210860,72801,162247,169726,240710,4773,75086,35545,380381,52013,58986,406141,122273,65405,31175,374143,39875,24923,25647,43684,107646,135443,11150,26170,20980,51248,102307,101377,29667,17232,27224,111113,43074,19768,10340,73787,23195,24783,56327,10210,89538,8244,34310,51154,132228,57104,46964,3673,35192,29609,44217,58357,64868,199205,9907,12967,52541,53119,65537,24754,7609,8459,35886,27717,7651,66257,6889,6576,20418,21889,66795,71289,8960,25830,11030,37405,3552,247602,208870,35135,5901,38329,19630,45866,111253,31883,2560,11575,30718
